code,industry,name
06626,Real Estate Services,YUEXIU SERVICES
06628,Biotechnology,TRANSCENTA-B
06633,,QINGCI GAMES
06636,Software—Infrastructure,EXTREME VISION
06639,,ARRAIL GROUP
06651,Software—Application,51WORLD
06655,Building Materials,HX BLDG MAT
06656,Electrical Equipment & Parts,SIGENERGY
06657,Software—Application,BAIWANG CO
06658,Packaged Foods,LIULIUMEI
06660,Biotechnology,AIM VACCINE
06661,,HUZHOU GAS
06663,Security & Protection Services,IWS GROUP
06666,Real Estate Services,EVERG SERVICES
06667,Diagnostics & Research,MEGA GENOMICS
06668,Real Estate Services,E-STAR CM
06669,Medical Devices,ACOTEC-B
06675,Semiconductors,SENASIC
06676,Software—Infrastructure,ZG GROUP-W
06677,Real Estate Services,SINO-OCEAN SERV
06680,Metal Fabrication,JLMAG
06681,Health Information Services,BRAINAURORA-B
06682,Software—Infrastructure,PHANCY
06683,Packaged Foods,STARPLUS LEGEND
06686,Asset Management,NOAH HOLDINGS
06687,Software—Application,JST GROUP
06690,"Furnishings, Fixtures & Appliances",HAIER SMARTHOME
06693,Gold,CHIFENG GOLD
06696,,MANY IDEA CLOUD
06698,Entertainment,STAR CM
